@RELATION emotions
@attribute Mean_Acc1298_Mean_Mem40_Centroid numeric
@attribute Mean_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Mean_Mem40_Flux numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Mean_Acc1298_Std_Mem40_Centroid numeric
@attribute Mean_Acc1298_Std_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Std_Mem40_Flux numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Mean_Mem40_Centroid numeric
@attribute Std_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Std_Acc1298_Mean_Mem40_Flux numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Std_Mem40_Centroid numeric
@attribute Std_Acc1298_Std_Mem40_Rolloff numeric
@attribute Std_Acc1298_Std_Mem40_Flux numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute BH_LowPeakAmp numeric
@attribute BH_LowPeakBPM numeric
@attribute BH_HighPeakAmp numeric
@attribute BH_HighPeakBPM numeric
@attribute BH_HighLowRatio numeric
@attribute BHSUM1 numeric
@attribute BHSUM2 numeric
@attribute BHSUM3 numeric
@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-calm {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@data
?,0.249749,0.088224,-71.464692,3.781501,0.946865,?,0.425796,?,0.74882,0.312963,0.684434,0.448612,0.385034,0.636508,0.394653,0.062566,0.233248,0.03709,5.807147,1.09491,1.257772,1.027029,0.82805,0.60801,0.577094,0.563382,0.501218,0.504829,0.438189,0.428289,0.406116,0.029491,?,0.009238,?,0.836447,0.722986,1.010999,0.4118,0.479368,0.292757,?,0.314475,?,0.253884,0.3112,0.17892,0.035783,0.112092,0.029673,?,0.656572,0.380315,0.280867,0.244503,0.131112,0.176219,0.132303,0.104672,0.112889,0.109043,?,0.066596,0.080509,81,0.406049,162,2,?,0,0.835918,?,1,1,0,0,0
0.07661,0.173846,0.085544,?,4.166807,?,2.069593,0.592233,0.346489,0.572659,1.277228,0.843066,0.006599,?,0.490021,0.452169,?,0.133586,?,4.838325,?,1.178439,0.98664,0.711055,0.634663,0.543885,0.601067,0.617135,0.523592,0.45339,?,0.462819,0.022252,0.044207,0.008193,3.353675,0.74539,?,0.868064,?,0.35653,0.241441,0.290889,0.281937,0.257923,0.250197,0.333141,0.198408,?,0.06554,?,4.33184,0.327743,0.375127,0.245478,0.144704,0.13817,0.113705,0.13897,0.122011,?,0.075501,?,?,?,70,?,140,2,0.572201,0.577333,1.342122,0,0,1,0,0,0
?,?,0.094216,-73.22667,2.741632,1.707433,1.257558,0.805555,?,?,0.947719,0.75842,0.813356,0.61255,?,0.494374,0.082081,0.285271,0.038763,?,1.004541,1.101516,?,0.683399,0.630638,0.49182,0.42669,0.462839,0.448752,?,0.425064,?,0.045421,0.073893,0.007405,2.694329,?,?,0.219867,0.303975,0.215078,0.158922,?,0.096486,0.103487,?,0.095559,0.074911,0.02611,0.035949,0.029573,3.85519,0.30037,0.120505,0.101579,0.069436,?,0.053095,0.052991,?,0.052235,?,0.045284,?,1.180777,?,?,?,2,1.233543,?,?,?,0,?,0,0,0
0.031987,?,0.088266,?,?,0.892436,2.403569,?,1.808649,0.580347,0.945128,0.019582,0.579569,0.571816,0.481704,0.307826,?,?,0.040728,5.697374,?,?,0.694643,0.727845,?,0.584212,0.567323,?,0.535662,0.463622,0.438143,?,?,0.062746,0.007831,?,?,?,0.49144,?,0.314609,?,0.316286,0.304913,0.239969,0.225773,0.233053,?,0.029756,0.066582,?,?,0.545935,?,?,0.213832,0.127072,0.119238,?,?,0.163794,?,?,0.160609,0.017779,?,0.014253,200,2,?,?,0.326031,0,?,1,?,?,0
?,0.114651,0.084246,-73.219315,?,?,2.065888,0.517364,1.027248,0.660353,?,0.771807,0.950514,0.800831,0.191792,0.410237,0.051712,0.118016,?,4.471482,?,1.124739,0.839705,0.729185,0.658059,0.605391,0.45751,0.455219,0.441779,0.440217,0.450447,0.462062,?,?,0.009405,2.59128,0.839685,?,?,?,0.373322,0.251105,0.205521,0.236927,0.315307,0.204768,0.256403,?,0.028609,0.057322,0.02902,4.224989,?,?,?,?,0.208758,0.169781,0.086288,?,0.09371,0.111411,?,0.124834,0.073747,55,0.055948,110,2,?,0.169508,0.36256,?,0,?,0,1,0
0.081393,0.490578,0.097462,-75.447622,?,2.359655,1.697092,1.088954,1.203154,0.661206,?,?,0.552733,?,0.445632,0.50295,0.109314,?,?,7.234498,?,?,0.70181,0.594846,?,0.559048,?,0.460241,0.436416,?,?,0.369364,0.01095,0.080254,0.007244,2.350675,0.408559,?,0.114057,0.12235,0.054569,?,0.106018,0.125732,?,0.062333,0.042072,0.072901,0.014764,0.026723,0.027827,3.599747,0.176812,0.122097,0.096764,0.070767,?,0.051835,0.04941,0.056704,?,0.043404,0.034682,?,?,66,1.313201,132,2,1.285485,1.313201,?,1,0,0,0,0,1
0.036562,0.07414,0.077247,-70.267813,?,-0.828732,?,0.477379,1.758715,0.830623,?,0.895668,0.15495,0.517579,-0.028205,0.64094,0.017275,0.051859,0.03012,?,?,0.769348,0.638049,?,?,0.561834,?,0.535594,0.475299,0.477172,?,?,?,0.055012,0.008329,?,1.253066,?,?,0.34881,0.229077,0.270842,0.305822,?,0.294823,0.261171,0.264916,0.163782,0.028386,0.061265,0.030247,4.085003,0.545045,0.268081,0.186048,0.114108,0.109789,?,0.110755,0.095753,0.092783,?,0.086373,0.081639,0.251613,?,0.220614,180,2,0.516142,?,1.164726,0,0,1,1,?,0
0.073788,0.250403,0.094382,?,?,0.326715,2.334506,0.567338,0.744065,0.510656,?,0.265347,0.137199,0.614462,0.3587,0.579978,?,0.254251,?,6.808461,?,0.991094,?,0.713142,?,0.722498,?,0.595839,0.49767,0.524823,0.503939,0.495169,?,?,0.007417,3.273868,0.675836,0.622131,0.332678,0.302428,?,?,0.264538,0.279959,?,0.171081,?,?,0.021639,0.069582,0.027588,3.39234,?,?,0.13749,?,0.112684,0.183188,0.145547,?,0.086038,0.075193,0.097757,0.070971,0.598458,88,1.013591,176,2,1.493682,0.102761,?,0,?,1,?,0,?
0.072026,?,0.094844,?,5.131605,1.211724,?,0.518966,0.816461,?,0.394824,0.307957,?,0.188905,0.32326,0.478209,?,0.265663,0.039511,5.820356,?,1.132742,1.064888,0.941567,0.706672,0.719599,0.741495,?,?,0.671143,?,0.538296,0.033104,0.069682,0.009719,3.207479,0.892135,0.529161,0.426963,?,0.276831,?,0.264039,0.297414,0.413503,0.450691,0.217141,0.213195,0.052806,?,?,3.69523,?,0.275734,0.242668,0.223577,?,0.104303,0.103021,?,0.134796,?,0.092251,0.074716,0.093141,?,?,182,2,?,?,0.749744,?,?,0,0,1,1
0.030467,0.044338,?,-75.783124,?,1.740645,?,1.02006,0.59258,0.877341,1.398433,0.283796,0.981018,?,?,0.417938,0.015189,?,0.033947,3.631961,?,?,0.600455,0.520285,0.477569,0.55888,0.499225,0.449488,0.467149,?,0.412085,0.427969,0.014819,0.035091,?,3.485133,0.959965,0.351713,0.500946,0.46595,0.215384,?,0.230752,?,0.380805,?,0.208124,0.180612,0.029553,?,?,4.343962,0.456831,0.19937,0.187168,?,?,0.130246,0.125524,?,0.090343,0.091083,0.094975,0.072846,0.073564,?,?,114,?,?,?,0.580032,0,?,1,1,1,?
0.090841,?,0.083844,?,3.3929,0.122367,1.32222,0.259427,0.546771,?,0.419064,0.525858,0.766899,0.301706,0.42107,0.31885,0.049267,0.147887,0.030995,?,?,0.852737,0.893404,?,?,0.580267,0.571912,?,0.578482,0.475611,?,0.472023,0.020568,0.051397,0.008491,1.583536,0.543385,0.600194,?,0.479099,?,0.315148,0.249551,0.213228,?,0.144751,0.172649,?,0.025371,0.062529,0.030007,3.889851,0.369155,?,0.191676,0.165876,?,0.112851,0.099206,0.093833,?,0.060203,0.090094,0.075316,0.262349,90,?,180,2,0.570178,0.195529,1.386673,1,?,0,0,0,1
0.05804,0.176479,0.08054,-60.734624,3.859824,?,2.185029,?,?,0.524074,?,?,0.441247,?,0.273593,0.356589,?,0.146401,?,?,1.057221,?,?,0.539703,?,?,0.440828,0.399385,0.417664,?,0.349375,0.35923,0.02235,0.055466,0.008301,1.949031,0.563897,0.319845,0.537201,0.249894,?,0.173325,0.259128,0.1263,0.186445,0.176945,?,0.113457,0.029084,?,?,3.737753,0.363209,?,?,?,0.074468,0.092428,0.098385,0.052777,0.091201,0.068528,0.045189,0.054135,?,67,0.211584,134,2,0.798944,0.314226,1.113169,0,1,?,0,?,?
?,0.201884,0.080349,-69.377978,3.530109,-0.088116,2.358581,0.259732,0.986011,0.739841,0.552698,0.367461,0.238452,0.348709,0.542195,?,0.043218,0.104523,0.030973,6.368852,1.057144,1.287773,?,0.58171,0.479653,?,?,0.431424,0.447148,0.446894,?,0.502809,0.021231,0.047008,0.007485,4.594243,?,?,?,?,0.255969,0.239309,?,0.185593,0.175838,0.322092,0.171341,0.296154,?,0.05571,0.030312,3.507677,0.268011,?,0.125591,0.122705,0.086995,0.121477,0.066993,?,0.073425,0.07413,0.100791,?,?,64,0.193998,?,2,0.105963,0.310587,0.519843,0,1,0,0,0,0
0.118812,?,0.098123,-73.044706,?,0.843389,?,0.869662,?,?,0.444858,0.376239,0.32359,?,0.60064,?,?,0.251526,?,6.284351,1.988883,1.711572,?,0.979814,?,0.76654,0.719634,0.59864,?,0.545239,0.528358,0.468472,?,0.111822,?,3.531461,0.796007,0.687073,0.53581,?,0.401741,?,?,0.174371,0.218597,?,0.149787,?,0.056593,0.069429,?,3.757581,0.505087,0.337882,0.270039,0.239794,0.148151,0.152759,0.150247,0.105612,?,0.107838,0.08737,0.070076,0.008598,90,?,180,2,?,?,?,0,0,0,?,?,1
0.072312,?,0.08707,-67.149229,2.081332,0.862607,1.363718,1.105382,?,0.288421,?,0.752435,?,0.570828,0.445762,0.304039,0.057446,0.295261,0.035598,4.769029,1.375215,0.904397,1.076684,0.875058,0.608533,0.608196,0.739748,0.614852,0.619513,0.525258,0.523695,0.480678,0.023243,?,0.009017,?,?,0.232994,0.327658,0.38134,?,?,?,0.261608,?,0.159295,0.15043,0.148972,0.026668,0.064286,0.029508,3.677509,?,?,?,?,0.106769,0.120566,?,?,0.106964,0.084656,0.087173,0.072809,?,?,0.052152,180,?,0.158518,0.099286,0.338074,0,0,?,0,0,1
0.049007,0.281936,0.083871,?,?,?,?,0.915189,?,0.650469,0.405205,0.674459,?,?,0.482005,0.419929,0.039932,0.329674,?,4.93403,1.540143,1.086377,?,0.638159,0.63043,?,0.55796,0.637081,0.538458,0.524832,0.461307,?,0.022343,0.149633,0.008749,3.413602,0.66065,?,?,0.285321,0.246676,0.290367,0.216475,0.286391,0.242166,?,0.167604,0.137985,?,0.094191,?,3.647868,?,?,0.318506,?,?,0.118487,0.121749,0.093806,0.096624,?,0.061595,0.055962,?,?,0.401992,180,2,0.714863,0.055066,?,?,?,?,0,0,1
0.039345,0.162001,0.092001,?,?,2.060865,?,?,0.696715,?,0.43556,?,0.337997,?,0.736492,0.673786,?,0.254131,0.042205,6.766731,?,1.145085,1.039473,0.682673,?,?,0.578836,?,0.519705,0.50691,0.47356,0.40063,0.023065,0.103513,0.007511,?,1.107468,0.577365,0.78923,0.530555,0.320916,?,0.315855,0.291589,?,0.315177,0.275603,0.180596,0.032223,?,0.028252,?,?,0.209513,0.287009,0.169917,0.144531,?,0.134639,?,0.090523,0.098374,?,?,0.277285,81,0,162,2,?,0.038492,?,0,0,1,0,?,0
?,?,0.15946,-79.734634,?,?,0.760122,?,0.731515,0.427603,0.519098,0.376991,0.456455,0.431473,?,?,?,0.386503,0.11619,15.262381,3.664476,2.04521,1.081396,0.703948,0.601091,?,?,?,0.357922,0.325899,?,0.343967,?,?,0.021227,7.268233,1.113475,0.826435,0.556715,0.186507,?,0.165819,?,0.184116,?,?,?,?,0.036436,?,0.021999,4.577565,?,?,0.300469,0.123,0.12037,?,0.074592,0.059238,0.048627,?,0.045763,?,0.65215,67,1.602833,?,2,1.262872,1.622467,?,1,?,0,0,0,1
0.088632,0.442798,?,-84.648714,?,?,1.11421,1.328732,0.896742,1.031994,?,?,0.680357,0.615963,0.435266,0.551936,?,?,?,11.216391,?,?,0.933507,0.662217,0.521061,0.44793,0.446726,0.413804,0.398513,0.450619,0.401092,0.399009,?,0.118903,0.009326,?,0.717237,?,0.157099,0.14936,0.149863,0.165656,0.138559,?,?,0.095483,?,?,0.046914,?,0.02441,3.897176,?,0.320441,0.091216,0.112769,0.07482,0.074949,?,0.057735,0.068087,0.086922,0.073932,0.056119,?,64,1.121665,128,2,?,1.18787,2.582441,0,1,0,?,?,0
0.064307,0.160953,?,?,?,0.336874,1.185565,0.765824,0.632464,?,?,?,0.347034,0.527732,0.257826,?,0.062133,?,?,6.167515,?,?,1.071688,1.020393,0.896055,0.743335,0.625,?,0.55195,0.546677,0.490779,?,?,0.069486,?,?,0.683182,0.780995,0.520894,0.523674,0.473965,?,?,?,0.1886,0.251175,?,0.210369,?,?,0.030023,4.158394,0.430224,0.292073,0.24984,?,0.208391,0.109178,0.104236,0.101983,?,0.102515,?,0.068021,?,?,0.265578,124,2,0.054307,0.47151,0.538637,?,?,1,0,0,?
